"Name","Phone","Address","Email","Website","ServiceArea","Instagram","Facebook","Twitter","Linkedin","Youtube","BusinessUrl","Rating","ReviewCount","PriceRange","Longitude","Latitude","Alias","BizId","BusinessSectionUrls_open_hours","BusinessSectionUrls_reviews","Categories_0_title","Categories_0_url","Categories_1_title","Categories_1_url","Categories_2_title","Categories_2_url","FormattedAddress","IsAd","Neighborhoods_0","Open_time","ParentBusiness","Ranking","RenderAdInfo","ServicePricing","Snippet"
"Apollo Roofing Company","(925) 281-5504","500 Beale St, Ste 129, San Francisco, CA 94105","","https://www.apolloroofingcompany.com","San Francisco","https://www.instagram.com/apolloroofingcompany","https://www.facebook.com/Apolloroofingcompany","https://twitter.com/apollo_roofing","","https://www.youtube.com/channel/UCBENZyxz1RfPi,https://www.youtube.com/channel/UCBENZyxz1RfPirwZ30F96Bw","https://www.yelp.com/biz/apollo-roofing-company-san-francisco-3?osq=Roofing&override_cta=Get+pricing+%26+availability","4.8","85","","-122.3896225","37.7860541","apollo-roofing-company-san-francisco-3","6RA7b8XAwCR9DJhBdP6Zkg","/biz/apollo-roofing-company-san-francisco-3?osq=Roofing&override_cta=Get+pricing+%26+availability#location-and-hours","/biz/apollo-roofing-company-san-francisco-3?osq=Roofing&override_cta=Get+pricing+%26+availability#reviews","Roofing","/search?find_desc=Roofing&find_loc=San+Francisco%2C+CA","","","","","500 Beale St","false","South Beach","","","","false","","The crew did an outstanding job in completing our [[HIGHLIGHT]]roof[[ENDHIGHLIGHT]] in three consecutive days and made sure the..."
"ROOF EXPRESS","(650) 666-5554","58 W Portal Ave, San Francisco, CA 94127","sales@roof-ex.com","http://roof-ex.com","San Francisco","https://www.instagram.com/roof_exp","https://www.facebook.com/roof.exp","","","https://www.youtube.com/@Roof-Express","https://www.yelp.com/biz/roof-express-san-francisco?osq=Roofing&override_cta=Get+pricing+%26+availability","4.9","118","","-122.4667264","37.7403344","roof-express-san-francisco","1Oe7jsG2r4QBFt2M8yLwvw","/biz/roof-express-san-francisco?osq=Roofing&override_cta=Get+pricing+%26+availability#location-and-hours","/biz/roof-express-san-francisco?osq=Roofing&override_cta=Get+pricing+%26+availability#reviews","Roofing","/search?find_desc=Roofing&find_loc=San+Francisco%2C+CA","","","","","58 W Portal Ave","false","West Portal","","","","false","","My new [[HIGHLIGHT]]roof[[ENDHIGHLIGHT]] looks fantastic. The estimate of installing my new roof is pretty reasonable."
"Central Roofing","(650) 589-4173","320 Victory Ave, South San Francisco, CA 94080","info@centralroofingcal.com","http://www.centralroofingcal.com","South San Francisco","","https://www.facebook.com/Central-Roofing-Company-1508534686122628","https://twitter.com/CentralRoofing2","","https://www.youtube.com/channel/UCpO6wWFpqWbAX-qkJzEyTlw","https://www.yelp.com/biz/central-roofing-south-san-francisco-5?osq=Roofing&override_cta=Get+pricing+%26+availability","4.8","130","","-122.40788","37.65466","central-roofing-south-san-francisco-5","edhu_zO3OxS-Yf5QoOf5NQ","/biz/central-roofing-south-san-francisco-5?osq=Roofing&override_cta=Get+pricing+%26+availability#location-and-hours","/biz/central-roofing-south-san-francisco-5?osq=Roofing&override_cta=Get+pricing+%26+availability#reviews","Roofing","/search?find_desc=Roofing&find_loc=San+Francisco%2C+CA","Roof Inspectors","/search?find_desc=Roof+Inspectors&find_loc=San+Francisco%2C+CA","Gutter Services","/search?find_desc=Gutter+Services&find_loc=San+Francisco%2C+CA","320 Victory Ave","false","","","","","false","","Our house roof tiles looks really good. The Central [[HIGHLIGHT]]Roofing[[ENDHIGHLIGHT]] really knows how to remove the old roof..."
"Advantage Roofing","(650) 291-6342","Daly City, CA 94102","","https://www.advantageroofingsf.net","Daly City","","","","","","https://www.yelp.com/biz/advantage-roofing-daly-city?osq=Roofing&override_cta=Get+pricing+%26+availability","4.7","104","","-122.4212424","37.7786871","advantage-roofing-daly-city","H2u_kWbU8tRDfFkV_ah1Ow","/biz/advantage-roofing-daly-city?osq=Roofing&override_cta=Get+pricing+%26+availability#location-and-hours","/biz/advantage-roofing-daly-city?osq=Roofing&override_cta=Get+pricing+%26+availability#reviews","Roofing","/search?find_desc=Roofing&find_loc=San+Francisco%2C+CA","","","","","","false","Civic Center","","","","false","","After tearing off the existing [[HIGHLIGHT]]roof[[ENDHIGHLIGHT]], it was determined that the plywood on my roof was a little too..."
"Mike McCurdy Roofing","(650) 952-0233","371 Shaw Rd, South San Francisco, CA 94080","mikemccurdyroofing@gmail.com","https://mikemccurdyroofinginc.com","South San Francisco","https://www.instagram.com/mccurdy_roofing","https://www.facebook.com/Mike-mccurdy-roofing-inc-371395853624413","","","","https://www.yelp.com/biz/mike-mccurdy-roofing-south-san-francisco?osq=Roofing&override_cta=Get+pricing+%26+availability","4.6","84","","-122.405784130096","37.6357539625848","mike-mccurdy-roofing-south-san-francisco","3v8lFxrYts0QQWkg0N-72A","/biz/mike-mccurdy-roofing-south-san-francisco?osq=Roofing&override_cta=Get+pricing+%26+availability#location-and-hours","/biz/mike-mccurdy-roofing-south-san-francisco?osq=Roofing&override_cta=Get+pricing+%26+availability#reviews","Roofing","/search?find_desc=Roofing&find_loc=San+Francisco%2C+CA","","","","","371 Shaw Rd","false","","","","","false","","The most impressive part, beside them hauling up all the heavy stuff and tools up the [[HIGHLIGHT]]roof[[ENDHIGHLIGHT]], is that..."
"Redwood Roofing","(650) 303-3705","130 Staples Ave, San Francisco, CA 94112","redwoodroofingco@gmail.com","http://redwoodroofingco.com","San Francisco","","https://www.facebook.com/Redwood-Roofing-Co-327962134535064","","","","https://www.yelp.com/biz/redwood-roofing-san-francisco-3?osq=Roofing&override_cta=Get+pricing+%26+availability","4.8","45","","-122.4450662","37.72931627664764","redwood-roofing-san-francisco-3","hXcYgfUjhsee0jjljFhGnA","/biz/redwood-roofing-san-francisco-3?osq=Roofing&override_cta=Get+pricing+%26+availability#location-and-hours","/biz/redwood-roofing-san-francisco-3?osq=Roofing&override_cta=Get+pricing+%26+availability#reviews","Roofing","/search?find_desc=Roofing&find_loc=San+Francisco%2C+CA","","","","","130 Staples Ave","false","Sunnyside","","","","false","","I can tell from the progress photos they did a really good job, and our [[HIGHLIGHT]]roof[[ENDHIGHLIGHT]] looks great."
"Equinox Roofing","(800) 880-6020","1801 Oakland Blvd, Ste 315, Walnut Creek, CA 94596","","https://equinox-roofing.com","Walnut Creek","https://www.instagram.com/equinoxroofinginc","https://www.facebook.com/EquinoxRoofingServices","","","https://youtube.com/@equinoxroofing584","https://www.yelp.com/biz/equinox-roofing-walnut-creek?osq=Roofing&override_cta=Get+pricing+%26+availability","4.9","153","","-122.06911238559627","37.90352896659824","equinox-roofing-walnut-creek","CkLljLXjalG7wR2ILTjPng","/biz/equinox-roofing-walnut-creek?osq=Roofing&override_cta=Get+pricing+%26+availability#location-and-hours","/biz/equinox-roofing-walnut-creek?osq=Roofing&override_cta=Get+pricing+%26+availability#reviews","Roofing","/search?find_desc=Roofing&find_loc=San+Francisco%2C+CA","","","","","1801 Oakland Blvd","false","","","","","false","","Eli was punctual, and even though his drone was down that day, he decided to get on the [[HIGHLIGHT]]roof[[ENDHIGHLIGHT]] himself..."
"Leon Brothers Roofing","(510) 935-2316","1215 23rd Ave Ave, Oakland, CA 94606","leon.roofing84@gmail.com","http://www.leonroofingcompany.com","Oakland","https://www.instagram.com/leonbrothers.inc","","","","","https://www.yelp.com/biz/leon-brothers-roofing-oakland?osq=Roofing&override_cta=Get+pricing+%26+availability","5","101","","-122.24495420940714","37.79178433650312","leon-brothers-roofing-oakland","VV_LYE1yCeDEFIILfUyjNw","/biz/leon-brothers-roofing-oakland?osq=Roofing&override_cta=Get+pricing+%26+availability#location-and-hours","/biz/leon-brothers-roofing-oakland?osq=Roofing&override_cta=Get+pricing+%26+availability#reviews","Roofing","/search?find_desc=Roofing&find_loc=San+Francisco%2C+CA","","","","","1215 23rd Ave Ave","false","East Oakland","","","","false","","Here is why they are the right choice for your [[HIGHLIGHT]]roofing[[ENDHIGHLIGHT]] needs:  1) Courage."
"ELM Roofing Contractors","(650) 850-5761","1900 S Norfolk St, Ste 391, San Mateo, CA 94403","info@elmroofingcontractors.com","https://elmroofingcontractors.com","San Mateo","","","","","","https://www.yelp.com/biz/elm-roofing-contractors-san-mateo?osq=Roofing&override_cta=Get+pricing+%26+availability","4.8","54","","-122.2924274","37.5527601","elm-roofing-contractors-san-mateo","trX9WMfHuf_RL7rfl3RPPg","/biz/elm-roofing-contractors-san-mateo?osq=Roofing&override_cta=Get+pricing+%26+availability#location-and-hours","/biz/elm-roofing-contractors-san-mateo?osq=Roofing&override_cta=Get+pricing+%26+availability#reviews","Roofing","/search?find_desc=Roofing&find_loc=San+Francisco%2C+CA","","","","","1900 S Norfolk St","false","","","","","false","","We are very happy with our new home and our new roof and wanted to share the word that ELM [[HIGHLIGHT]]Roofing[[ENDHIGHLIGHT]]..."
"Lee Family Corp","(415) 860-5505","778 11th Ave, San Francisco, CA 94118","leefamilycorp@gmail.com","http://www.leefamilycorp.com","San Francisco","","https://www.facebook.com/2008","","","","https://www.yelp.com/biz/lee-family-corp-san-francisco-4?osq=Roofing&override_cta=Get+pricing+%26+availability","4.5","46","","-122.4688933","37.7736868","lee-family-corp-san-francisco-4","h5yOSyeEIkfUy7ZnRyn4Eg","/biz/lee-family-corp-san-francisco-4?osq=Roofing&override_cta=Get+pricing+%26+availability#location-and-hours","/biz/lee-family-corp-san-francisco-4?osq=Roofing&override_cta=Get+pricing+%26+availability#reviews","General Contractors","/search?find_desc=General+Contractors&find_loc=San+Francisco%2C+CA","Roofing","/search?find_desc=Roofing&find_loc=San+Francisco%2C+CA","Painters","/search?find_desc=Painters&find_loc=San+Francisco%2C+CA","778 11th Ave","false","Inner Richmond","","","","false","","He encouraged me to contact other roofers for comparison and even helped us patch up the [[HIGHLIGHT]]roof[[ENDHIGHLIGHT]] to..."
